return,Investor Share,Managemenet fee,,
0%,-2%,2%,50%,0.02
5%,3%,2%,,
10%,8%,2%,,
15%,13%,2%,,
20%,18%,2%,,
25%,23%,2%,,
30%,28%,2%,,
35%,33%,2%,,
40%,38%,2%,,
45%,43%,2%,,
50%,48%,2%,,
55%,52%,3%,,
60%,56%,5%,,
65%,59%,6%,,
70%,63%,7%,,
75%,67%,8%,,
80%,71%,10%,,
85%,74%,11%,,
90%,78%,12%,,
95%,82%,13%,,
100%,86%,15%,,
105%,89%,16%,,
110%,93%,17%,,
115%,97%,18%,,
120%,101%,20%,,
125%,104%,21%,,
130%,108%,22%,,
135%,112%,23%,,
140%,116%,25%,,
145%,119%,26%,,
150%,123%,27%,,
